,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Balurghat,IN,76.59,broken clouds,25.2167,88.7667,"Circuit House, Balurghat"
16,Faanui,PF,78.31,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Labuhan,ID,81.75,overcast clouds,-6.8844,112.2051,DoubleFAG
21,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
24,Ouargaye,BF,78.8,light rain,11.5033,0.0572,Résidence le Cotonnier
30,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
32,Hilo,US,83.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Hithadhoo,MV,82.27,scattered clouds,-0.6,73.0833,Scoop Guest House
35,Veraval,IN,79.74,broken clouds,20.9,70.3667,Lords Inn Somnath
43,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Guane,CU,76.1,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
48,Tautira,PF,76.73,scattered clouds,-17.7333,-149.15,Pension Oaoa
50,Alappuzha,IN,77.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
51,Coahuayana,MX,78.35,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
54,Kushima,JP,76.1,moderate rain,31.4583,131.2333,Hanaoka
57,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
58,Dingle,PH,84.56,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
62,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Central
68,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
71,Dicabisagan,PH,84.33,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
79,Garwa,IN,75.2,scattered clouds,24.1833,83.8167,A.PS.D Utsav Garden
83,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
97,Atuona,PF,77.45,clear sky,-9.8,-139.0333,Villa Enata
101,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
109,Saint George,US,80.8,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
112,Sao Filipe,CV,78.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
114,Butaritari,KI,82.08,clear sky,3.0707,172.7902,Isles Sunset Lodge
116,Soyo,AO,75.09,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
124,Acapulco,MX,79.9,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
125,Corn Island,NI,83.95,overcast clouds,12.1694,-83.0418,Big Fish Guest House
126,Kismayo,SO,76.62,scattered clouds,-0.3582,42.5454,Agan-Hotel
127,Muncar,ID,79.41,overcast clouds,-8.4333,114.3333,Zaky Homestay
128,Bowen,AU,78.51,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
131,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
132,Hirara,JP,82.26,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
134,Hue,VN,77.11,shower rain,16.4667,107.6,Saigon Morin Hotel
135,Samarai,PG,82.22,overcast clouds,-10.6167,150.6667,Nuli Sapi
136,Bata,GQ,76.48,moderate rain,1.8639,9.7658,Hotel Elik Melen
140,Lorengau,PG,85.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Itarema,BR,78.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
149,Lumphat,KH,76.3,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
150,Khartoum,SD,86.02,clear sky,15.5518,32.5324,Hotel China
