City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,13.8,broken clouds
1,Khuzhir,RU,53.1939,107.3397,37.29,62,20,3.67,few clouds
2,Geraldton,AU,-28.7667,114.6,63.01,48,100,9.22,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,44.26,76,40,14.97,scattered clouds
4,Bredasdorp,ZA,-34.5322,20.0403,49.35,92,0,7.14,clear sky
5,Muleba,TZ,-1.8397,31.6544,69.1,68,93,4.23,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,61.38,74,20,4.61,few clouds
7,Viedma,AR,-40.8135,-62.9967,59.94,63,0,21.14,clear sky
8,Mar Del Plata,AR,-38.0023,-57.5575,60.1,90,0,8.05,clear sky
9,Oga,IT,46.4631,10.347,47.08,81,6,3.4,clear sky
10,Mataura,NZ,-46.1927,168.8643,45.48,93,99,10.71,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,69.35,63,69,20.85,broken clouds
12,New Norfolk,AU,-42.7826,147.0587,56.7,57,99,12.12,overcast clouds
13,Talnakh,RU,69.4865,88.3972,23.4,97,100,3.76,overcast clouds
14,Iwanai,JP,42.9744,140.5089,51.78,53,100,11.97,overcast clouds
15,Balurghat,IN,25.2167,88.7667,76.59,95,70,3.69,broken clouds
16,Faanui,PF,-16.4833,-151.75,78.31,73,2,25.75,clear sky
17,Thompson,CA,55.7435,-97.8558,32.16,64,75,9.22,broken clouds
18,Labuhan,ID,-6.8844,112.2051,81.75,74,100,10.92,overcast clouds
19,Upernavik,GL,72.7868,-56.1549,19.2,84,99,4.18,overcast clouds
20,Micheweni,TZ,-4.9667,39.8333,73.9,86,18,9.53,few clouds
21,Najran,SA,17.4924,44.1277,75.85,28,90,1.63,overcast clouds
22,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,18.41,overcast clouds
23,Gat,IL,31.61,34.7642,72.81,100,2,4.0,clear sky
24,Ouargaye,BF,11.5033,0.0572,78.8,71,91,6.44,light rain
25,Puerto Ayora,EC,-0.7393,-90.3518,67.55,90,84,7.0,broken clouds
26,Isfana,KG,39.8386,69.5306,36.16,51,96,2.01,overcast clouds
27,Hobart,AU,-42.8794,147.3294,57.06,72,75,16.11,broken clouds
28,Busselton,AU,-33.65,115.3333,55.94,60,94,13.73,overcast clouds
29,Bluff,NZ,-46.6,168.3333,45.81,64,98,21.83,overcast clouds
30,Avarua,CK,-21.2078,-159.775,78.85,69,20,18.41,few clouds
31,Fairbanks,US,64.8378,-147.7164,47.61,69,20,1.01,few clouds
32,Hilo,US,19.7297,-155.09,83.25,80,100,5.75,overcast clouds
33,Hithadhoo,MV,-0.6,73.0833,82.27,74,43,20.78,scattered clouds
34,Tosya,TR,41.0155,34.0401,49.44,85,89,3.89,overcast clouds
35,Veraval,IN,20.9,70.3667,79.74,76,67,11.59,broken clouds
36,Marzuq,YE,14.4,46.4667,71.31,56,11,0.81,few clouds
37,Guerrero Negro,MX,27.9769,-114.0611,71.73,73,0,11.63,clear sky
38,East London,ZA,-33.0153,27.9116,64.38,83,100,8.95,overcast clouds
39,Albany,US,42.6001,-73.9662,54.55,91,78,4.43,broken clouds
40,Arrifes,PT,37.7667,-25.7,68.23,88,20,4.61,few clouds
41,Yellowknife,CA,62.456,-114.3525,37.92,75,75,16.11,broken clouds
42,Omsukchan,RU,62.5333,155.8,15.28,79,100,9.01,overcast clouds
43,Kapaa,US,22.0752,-159.319,84.18,70,27,5.01,scattered clouds
44,Guane,CU,22.2025,-84.0875,76.1,71,89,2.8,overcast clouds
45,Lagoa,PT,39.05,-27.9833,69.13,84,100,15.39,light rain
46,Pisco,PE,-13.7,-76.2167,60.85,77,0,3.44,clear sky
47,Wynyard,AU,-41.0,145.7167,51.98,86,100,20.42,overcast clouds
48,Tautira,PF,-17.7333,-149.15,76.73,68,37,24.16,scattered clouds
49,Huanren,CN,41.2647,125.3667,47.07,43,100,3.02,overcast clouds
50,Alappuzha,IN,9.49,76.3264,77.0,84,100,5.5,overcast clouds
51,Coahuayana,MX,18.7333,-103.6833,78.35,88,59,2.15,broken clouds
52,Belmonte,BR,-15.8631,-38.8828,74.32,86,13,8.81,few clouds
53,Wexford,IE,52.3342,-6.4575,52.21,81,9,11.01,clear sky
54,Kushima,JP,31.4583,131.2333,76.1,71,100,6.62,moderate rain
55,Awbari,LY,26.5921,12.7805,69.71,42,0,8.41,clear sky
56,Fortuna,US,40.5982,-124.1573,62.91,79,21,5.99,few clouds
57,Hambantota,LK,6.1241,81.1185,77.34,100,20,10.36,few clouds
58,Dingle,PH,10.9995,122.6711,84.56,76,72,8.66,broken clouds
59,Henties Bay,NA,-22.116,14.2845,54.14,94,59,9.73,broken clouds
60,Port Elizabeth,ZA,-33.918,25.5701,59.31,84,40,11.5,scattered clouds
61,Algeciras,ES,36.1333,-5.4505,65.88,94,75,12.66,mist
62,Victoria,HK,22.2855,114.1577,86.38,75,57,11.99,broken clouds
63,Jamestown,US,42.097,-79.2353,53.19,65,9,1.01,clear sky
64,Orlik,RU,52.5178,99.825,29.64,69,81,3.94,broken clouds
